run_name,n_layer,n_head,n_embd,params,steps_completed,final_loss,tokens_per_sec_avg,compute_usage_pct_avg,mem_peak_reserved_gib_max,mem_util_pct_max,summary_path
m110,12,12,768,110925312,667,4.86784553527832,1785093.073229787,21.855720664428986,6.865234375,2.555991855730076,experiments/model_scale_20260409_131633/m110_summary.json
m261,18,16,1024,261171200,573,5.144414663314819,1446269.7945470551,26.933630359110406,12.78125,4.758580570098895,experiments/model_scale_20260409_131633/m261_summary.json
m389,22,16,1152,389387520,450,5.680818200111389,1181550.4183953172,30.231708704630535,17.478515625,6.5074171029668415,experiments/model_scale_20260409_131633/m389_summary.json
m666,26,22,1408,666257152,347,6.26362156867981,915207.2168542272,35.16962013464496,26.982421875,10.045811518324607,experiments/model_scale_20260409_131633/m666_summary.json
m958,32,24,1536,958073856,283,6.705990672111511,764739.3552483311,37.165203613443005,36.740234375,13.678737638161723,experiments/model_scale_20260409_131633/m958_summary.json
